date,time,team,opponent_team,goals_scored_by_team,home_flag
17/5/2016,20:00,Man Utd,Bournemouth,3,0
15/5/2016,15:00,Arsenal,Aston Villa,4,0
16/5/2016,15:00,Chelsea,Leicester,1,0
17/5/2016,15:00,Everton,Norwich,3,0
18/5/2016,15:00,Newcastle,Spurs,5,0
19/5/2016,15:00,Southampton,Crystal Palace,4,0
20/5/2016,15:00,Stoke,West Ham,2,0
21/5/2016,15:00,Swansea,Man City,1,0
22/5/2016,15:00,Watford,Sunderland,2,0
23/5/2016,15:00,West Brom,Liverpool,1,0
11/5/2016,20:00,Liverpool,Chelsea,1,0
12/5/2016,19:45,Norwich,Watford,4,0
13/5/2016,19:45,Sunderland,Everton,3,0
10/5/2016,20:30,West Ham,Man Utd,3,0
8/5/2016,16:00,Liverpool,Watford,2,0
9/5/2016,16:00,Man City,Arsenal,2,0
10/5/2016,13:30,Spurs,Southampton,1,0
7/5/2016,17:30,Leicester,Everton,3,0
8/5/2016,15:00,Aston Villa,Newcastle,0,0
9/5/2016,15:00,Bournemouth,West Brom,1,0
10/5/2016,15:00,Crystal Palace,Stoke,2,0
11/5/2016,15:00,Sunderland,Chelsea,3,0
12/5/2016,15:00,West Ham,Swansea,1,0
13/5/2016,12:45,Norwich,Man Utd,0,0
2/5/2016,20:00,Chelsea,Spurs,2,0
1/5/2016,16:30,Southampton,Man City,4,0
2/5/2016,14:05,Man Utd,Leicester,1,0
3/5/2016,12:00,Swansea,Liverpool,3,0
30/4/2016,17:30,Arsenal,Norwich,1,0
1/5/2016,15:00,Everton,Bournemouth,2,0
2/5/2016,15:00,Newcastle,Crystal Palace,1,0
3/5/2016,15:00,Stoke,Sunderland,1,0
4/5/2016,15:00,Watford,Aston Villa,3,0
5/5/2016,15:00,West Brom,West Ham,0,0
25/4/2016,20:00,Spurs,West Brom,1,0
24/4/2016,16:15,Leicester,Swansea,4,0
24/4/2016,14:05,Sunderland,Arsenal,0,0
23/4/2016,15:00,Aston Villa,Southampton,2,0
23/4/2016,15:00,Bournemouth,Chelsea,1,0
23/4/2016,15:00,Liverpool,Newcastle,2,0
23/4/2016,12:45,Man City,Stoke,4,0
21/4/2016,19:45,Arsenal,West Brom,2,0
20/4/2016,20:00,Liverpool,Everton,4,0
20/4/2016,20:00,Man Utd,Crystal Palace,2,0
20/4/2016,19:45,West Ham,Watford,3,0
19/4/2016,19:45,Newcastle,Man City,1,0
18/4/2016,20:00,Stoke,Spurs,0,0
17/4/2016,16:00,Arsenal,Crystal Palace,1,0
17/4/2016,13:30,Bournemouth,Liverpool,1,0
17/4/2016,13:30,Leicester,West Ham,2,0
16/4/2016,17:30,Chelsea,Man City,0,0
16/4/2016,15:00,Everton,Southampton,1,0
16/4/2016,15:00,Man Utd,Aston Villa,1,0
16/4/2016,15:00,Newcastle,Swansea,3,0
16/4/2016,15:00,West Brom,Watford,0,0
16/4/2016,12:45,Norwich,Sunderland,0,0
13/4/2016,20:00,Crystal Palace,Everton,0,0
10/4/2016,16:00,Liverpool,Stoke,4,0
10/4/2016,16:00,Spurs,Man Utd,3,0
10/4/2016,13:30,Sunderland,Leicester,0,0
9/4/2016,17:30,Man City,West Brom,2,0
9/4/2016,15:00,Aston Villa,Bournemouth,1,0
9/4/2016,15:00,Crystal Palace,Norwich,1,0
9/4/2016,15:00,Southampton,Newcastle,3,0
9/4/2016,15:00,Swansea,Chelsea,1,0
9/4/2016,15:00,Watford,Everton,1,0
9/4/2016,12:45,West Ham,Arsenal,3,0
3/4/2016,16:00,Man Utd,Everton,1,0
3/4/2016,13:30,Leicester,Southampton,1,0
2/4/2016,17:30,Liverpool,Spurs,1,0
2/4/2016,15:00,Arsenal,Watford,4,0
2/4/2016,15:00,Bournemouth,Man City,0,0
2/4/2016,15:00,Norwich,Newcastle,3,0
2/4/2016,15:00,Stoke,Swansea,2,0
2/4/2016,15:00,Sunderland,West Brom,0,0
2/4/2016,15:00,West Ham,Crystal Palace,2,0
2/4/2016,12:45,Aston Villa,Chelsea,0,0
20/3/2016,16:00,Man City,Man Utd,0,0
20/3/2016,16:00,Spurs,Bournemouth,3,0
20/3/2016,13:30,Newcastle,Sunderland,1,0
20/3/2016,13:30,Southampton,Liverpool,3,0
19/3/2016,17:30,Swansea,Aston Villa,1,0
19/3/2016,15:00,Chelsea,West Ham,2,0
19/3/2016,15:00,Crystal Palace,Leicester,0,0
19/3/2016,15:00,Watford,Stoke,1,0
19/3/2016,15:00,West Brom,Norwich,0,0
19/3/2016,12:45,Everton,Arsenal,0,0
14/3/2016,20:00,Leicester,Newcastle,1,0
13/3/2016,16:00,Aston Villa,Spurs,0,0
12/3/2016,15:00,Bournemouth,Swansea,3,0
12/3/2016,15:00,Stoke,Southampton,1,0
12/3/2016,12:45,Norwich,Man City,0,0
6/3/2016,16:00,West Brom,Man Utd,1,0
6/3/2016,13:30,Crystal Palace,Liverpool,1,0
5/3/2016,17:30,Watford,Leicester,0,0
5/3/2016,15:00,Chelsea,Stoke,1,0
5/3/2016,15:00,Everton,West Ham,2,0
5/3/2016,15:00,Man City,Aston Villa,4,0
5/3/2016,15:00,Newcastle,Bournemouth,1,0
5/3/2016,15:00,Southampton,Sunderland,1,0
5/3/2016,15:00,Swansea,Norwich,1,0
5/3/2016,12:45,Spurs,Arsenal,2,0
2/3/2016,20:00,Liverpool,Man City,3,0
2/3/2016,20:00,Man Utd,Watford,1,0
2/3/2016,19:45,Arsenal,Swansea,1,0
2/3/2016,19:45,Stoke,Newcastle,1,0
2/3/2016,19:45,West Ham,Spurs,1,0
1/3/2016,19:45,Aston Villa,Everton,1,0
1/3/2016,19:45,Bournemouth,Southampton,2,0
1/3/2016,19:45,Leicester,West Brom,2,0
1/3/2016,19:45,Norwich,Chelsea,1,0
1/3/2016,19:45,Sunderland,Crystal Palace,2,0
28/2/2016,14:05,Man Utd,Arsenal,3,0
28/2/2016,14:05,Spurs,Swansea,2,0
27/2/2016,17:30,West Brom,Crystal Palace,3,0
27/2/2016,15:00,Leicester,Norwich,1,0
27/2/2016,15:00,Southampton,Chelsea,1,0
27/2/2016,15:00,Stoke,Aston Villa,2,0
27/2/2016,15:00,Watford,Bournemouth,0,0
27/2/2016,12:45,West Ham,Sunderland,1,0
14/2/2016,16:15,Man City,Spurs,1,0
14/2/2016,14:05,Aston Villa,Liverpool,0,0
14/2/2016,12:00,Arsenal,Leicester,2,0
13/2/2016,17:30,Chelsea,Newcastle,5,0
13/2/2016,15:00,Bournemouth,Stoke,1,0
13/2/2016,15:00,Crystal Palace,Watford,1,0
13/2/2016,15:00,Everton,West Brom,0,0
13/2/2016,15:00,Norwich,West Ham,2,0
13/2/2016,15:00,Swansea,Southampton,0,0
13/2/2016,12:45,Sunderland,Man Utd,2,0
7/2/2016,16:00,Chelsea,Man Utd,1,0
7/2/2016,13:30,Bournemouth,Arsenal,0,0
6/2/2016,17:30,Southampton,West Ham,1,0
6/2/2016,15:00,Aston Villa,Norwich,2,0
6/2/2016,15:00,Liverpool,Sunderland,2,0
6/2/2016,15:00,Newcastle,West Brom,1,0
6/2/2016,15:00,Stoke,Everton,0,0
6/2/2016,15:00,Swansea,Crystal Palace,1,0
6/2/2016,15:00,Spurs,Watford,1,0
6/2/2016,12:45,Man City,Leicester,1,0
3/2/2016,19:45,Everton,Newcastle,3,0
3/2/2016,19:45,Watford,Chelsea,0,0
2/2/2016,20:00,Crystal Palace,Bournemouth,1,0
2/2/2016,20:00,Man Utd,Stoke,3,0
2/2/2016,20:00,West Brom,Swansea,1,0
2/2/2016,19:45,Arsenal,Southampton,0,0
2/2/2016,19:45,Leicester,Liverpool,2,0
2/2/2016,19:45,Norwich,Spurs,0,0
2/2/2016,19:45,Sunderland,Man City,0,0
2/2/2016,19:45,West Ham,Aston Villa,2,0
24/1/2016,16:00,Arsenal,Chelsea,0,0
